store_id,item_id,.model,date,sales,.mean,
TX_2,FOODS_1_001,bu,26.04.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,27.04.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,28.04.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,29.04.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,30.04.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,01.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,02.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,03.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,04.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,05.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,06.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,07.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,08.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,09.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,10.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,11.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,12.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,13.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,14.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,15.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,16.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,17.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,18.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,19.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,20.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,21.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,22.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_001,bu,23.05.16,N(0.48, 1.1),0.479721639
TX_2,FOODS_1_002,bu,26.04.16,N(0.13, 0.23),0.134885017
TX_2,FOODS_1_002,bu,27.04.16,N(-0.0035, 0.23),-0.003547825
TX_2,FOODS_1_002,bu,28.04.16,N(0.058, 0.23),0.058234963
TX_2,FOODS_1_002,bu,29.04.16,N(0.052, 0.23),0.051825975
TX_2,FOODS_1_002,bu,30.04.16,N(0.18, 0.23),0.180059845
TX_2,FOODS_1_002,bu,01.05.16,N(0.33, 0.23),0.331495574
TX_2,FOODS_1_002,bu,02.05.16,N(0.15, 0.23),0.154128064
TX_2,FOODS_1_002,bu,03.05.16,N(0.13, 0.23),0.134885017
TX_2,FOODS_1_002,bu,04.05.16,N(-0.0035, 0.23),-0.003547825
TX_2,FOODS_1_002,bu,05.05.16,N(0.058, 0.23),0.058234963
TX_2,FOODS_1_002,bu,06.05.16,N(0.052, 0.23),0.051825975
TX_2,FOODS_1_002,bu,07.05.16,N(0.18, 0.23),0.180059845
TX_2,FOODS_1_002,bu,08.05.16,N(0.33, 0.23),0.331495574
TX_2,FOODS_1_002,bu,09.05.16,N(0.15, 0.23),0.154128064
TX_2,FOODS_1_002,bu,10.05.16,N(0.13, 0.23),0.134885017
TX_2,FOODS_1_002,bu,11.05.16,N(-0.0035, 0.23),-0.003547825
TX_2,FOODS_1_002,bu,12.05.16,N(0.058, 0.23),0.058234963
TX_2,FOODS_1_002,bu,13.05.16,N(0.052, 0.23),0.051825975
TX_2,FOODS_1_002,bu,14.05.16,N(0.18, 0.23),0.180059845
TX_2,FOODS_1_002,bu,15.05.16,N(0.33, 0.23),0.331495574
TX_2,FOODS_1_002,bu,16.05.16,N(0.15, 0.23),0.154128064
TX_2,FOODS_1_002,bu,17.05.16,N(0.13, 0.23),0.134885017
TX_2,FOODS_1_002,bu,18.05.16,N(-0.0035, 0.23),-0.003547825
TX_2,FOODS_1_002,bu,19.05.16,N(0.058, 0.23),0.058234963
TX_2,FOODS_1_002,bu,20.05.16,N(0.052, 0.23),0.051825975
TX_2,FOODS_1_002,bu,21.05.16,N(0.18, 0.23),0.180059845
TX_2,FOODS_1_002,bu,22.05.16,N(0.33, 0.23),0.331495574
TX_2,FOODS_1_002,bu,23.05.16,N(0.15, 0.23),0.154128064
TX_2,FOODS_1_003,bu,26.04.16,N(0.34, 0.46),0.336240825
TX_2,FOODS_1_003,bu,27.04.16,N(0.34, 0.46),0.336240825
TX_2,FOODS_1_003,bu,28.04.16,N(0.34, 0.46),0.336240825
TX_2,FOODS_1_003,bu,29.04.16,N(0.34, 0.46),0.336240825
TX_2,FOODS_1_003,bu,30.04.16,N(0.34, 0.46),0.336240825
TX_2,FOODS_1_003,bu,01.05.16,N(0.34, 0.46),0.336240825
